# Command: 
# structures were superimposed onto reference structure
# lag time set to 1 frames
# output dimension for PCA set to 2
# output dimension for TICA set to 2
# number of top principle components passed to time-lagged t-SNE set to 50
# output dimension for t-SNE and time-lagged t-SNE set to 2
# perplexity of t-SNE set to 10.000000
# perplexity of time-lagged t-SNE set to 10.000000
# early_exaggeration set to 12.000000
# structure_ID PCA1 PCA2 TICA1 TICA2 tSNE1 tSNE2 tltSNE1 tltSNE2
 132 -1.455866 -7.039039 -0.036527 0.571422 -36.916042 68.380829 -21.710764 -55.269192
 133 -0.609456 -6.485124 -0.048324 0.495218 -37.177635 68.815094 -21.731010 -55.232414
 134 -0.899989 -5.465503 -0.060372 0.464984 -37.438183 69.158150 -21.754217 -55.182255
 135 0.726698 -6.493383 -0.047359 0.301041 -38.598286 70.215218 32.753292 -72.853477
 136 3.561199 -2.913927 -0.085214 0.326635 -40.228767 71.219887 32.674347 -72.980408
 137 1.738660 -7.248686 0.112306 0.434313 -41.243027 70.461655 32.198406 -73.262032
 138 1.306977 -7.693448 0.113537 0.545670 -41.230759 70.468636 32.190533 -73.329071
 139 2.483399 -7.696748 0.098475 0.714123 -39.888802 71.080849 32.930279 -73.565392
 140 3.457472 -8.095047 0.085761 0.437604 -39.648571 71.116898 33.472240 -73.972679
 141 2.228428 -7.606369 -0.010550 0.409415 -39.256031 71.018623 33.675518 -74.113007
 142 2.092342 -8.216425 0.182981 0.335810 -38.967896 70.970108 34.003929 -74.414795
 143 0.986530 -6.505210 0.303535 0.229273 -38.804344 70.972771 34.295265 -74.635750
 144 0.568910 -7.535384 0.355608 0.105913 -38.770958 71.104706 34.383408 -74.452377
 145 1.044867 -8.533333 0.170461 0.244346 -39.240738 71.232796 34.351372 -74.381836
 146 1.830839 -8.019319 0.180533 0.633458 -39.195145 71.160301 34.146008 -74.391777
 147 0.652276 -9.724522 -0.114495 0.633069 -38.110039 71.528267 34.615841 -75.171486
 148 -0.079052 -8.576818 0.198746 0.515885 -37.933060 71.593765 34.699673 -75.168449
 149 -1.741995 -5.128636 0.389808 0.157026 -36.428383 73.690498 36.306297 -73.484482
 150 -1.968874 -6.919749 0.267593 0.443589 -36.131798 74.495148 36.353901 -73.541458
 151 -1.018209 -7.624596 0.375910 0.505499 -35.914101 74.405556 36.183788 -73.620583
 152 -1.893120 -9.312739 0.305833 0.304226 -35.718578 74.448448 36.160305 -73.688217
 153 -1.387664 -10.631324 0.247395 0.466683 -35.043518 74.382996 36.964958 -74.817673
 154 -3.817699 -9.982725 0.351912 0.186630 -34.615330 74.620491 37.031036 -74.895912
 155 -2.935893 -8.385657 0.130172 0.133142 -34.699604 74.653351 37.566910 -74.694122
 156 -0.432726 -6.761000 0.051705 -0.081504 -36.599251 75.887711 38.166866 -74.283150
 157 -2.668871 -5.332097 0.261725 -0.054822 -35.783157 75.619637 38.224678 -74.357445
 158 -2.261088 -5.895939 0.134422 0.220481 -35.799507 75.573021 38.416389 -74.296043
 159 -0.243637 -7.872854 0.001840 0.382416 -35.886322 75.179108 38.780056 -74.244423
 160 -0.253060 -0.438475 -0.017152 0.132289 -37.025581 76.870598 38.921436 -73.619484
 161 -0.093659 -4.494545 0.080466 0.263135 -37.022785 76.591072 38.731194 -73.503212
 162 -0.377971 -4.903748 0.034361 0.309049 -36.948460 76.286728 38.391151 -73.467957
 163 0.386409 -7.024997 0.196779 0.217045 -36.882782 75.545242 38.144489 -72.982292
 164 -2.993007 -4.386243 0.245173 -0.068272 -37.137035 76.799423 38.028778 -72.744347
 165 0.474298 -7.072611 0.317151 0.296908 -37.154629 75.213898 37.515057 -72.300522
 166 -0.398183 -5.441423 0.199984 0.492143 -37.618885 75.726608 37.379581 -71.554970
 167 -0.685599 -5.088238 0.302404 0.341379 -37.772346 75.511818 37.280060 -71.131271
 168 -4.303629 -6.463761 0.296934 0.396205 -37.438145 74.438759 37.196770 -70.868141
 169 -1.370162 -7.083848 0.361014 0.313364 -37.189854 69.838547 36.743439 -70.046326
 170 1.013084 -6.238328 0.188435 0.354945 -39.582840 74.919235 36.824249 -69.820541
 171 2.173948 -6.173172 0.305739 0.184205 -40.197739 74.773003 36.899757 -69.495110
 172 2.268577 -5.348838 0.199913 0.243572 -39.978912 74.800232 36.889263 -69.498535
 173 0.775908 -2.637892 -0.210140 0.246972 -40.538944 74.834938 36.905476 -69.268570
 174 0.103184 2.506125 0.151289 0.579602 -3.824138 17.037786 -1.259378 -18.644651
 175 -0.961677 -3.448560 0.084623 0.484673 -40.630661 74.844711 -1.184023 -18.650858
 176 -1.957458 -0.594995 -0.097068 0.183240 -5.401234 15.627745 -1.414357 -18.575695
 177 -1.122210 2.683815 -0.563545 0.105270 -5.340049 15.743533 -1.476193 -18.515800
 178 5.208098 3.612375 0.062585 0.421258 -5.319921 13.974514 -2.054592 -18.628756
 179 0.203463 5.871519 0.197209 0.155973 -5.432021 14.135749 -2.322532 -18.673183
 180 -5.175355 3.780961 -0.219085 0.165159 -5.667345 14.564143 -2.263418 -18.680182
 181 -5.729989 1.554868 -0.141833 0.002712 -5.725120 14.422523 -2.832981 -18.751379
 182 -4.852074 15.382045 0.205171 0.036865 13.893126 -14.197994 -3.595237 -18.861137
 183 6.465210 5.852341 0.322906 -0.378673 2.244447 16.308392 -4.021302 -18.909159
 184 0.161642 8.552852 0.348931 -0.378684 2.316847 16.238060 -4.068691 -18.898905
 185 2.501184 13.386546 0.420631 0.107782 33.337261 15.859167 -41.680161 15.683724
 186 2.185793 17.075722 0.271921 0.549777 33.579300 15.555133 46.370922 -27.333193
 187 8.977154 10.862879 0.131426 1.055559 35.273495 18.173252 46.380886 -27.434830
 188 -6.715787 10.085108 -0.365411 0.479046 -2.531753 -7.491882 47.001492 -29.775328
 189 -9.408012 4.558431 -0.336659 0.335877 -2.802868 -9.259803 47.490501 -29.884991
 190 -4.738218 11.338283 -0.415935 0.314364 -2.532817 -7.328580 47.451733 -29.757490
 191 4.653661 11.933887 0.025257 0.188478 -1.779287 -5.721737 47.064503 -29.565767
 192 -9.098316 6.787800 -0.219847 0.355237 -2.745434 -8.871647 47.491161 -29.872105
 193 -10.216938 4.699705 -0.436015 0.482945 -2.131771 -9.297892 48.643368 -29.815241
 194 -6.294761 5.874566 -0.589786 0.160375 -1.778213 -8.658117 48.691059 -29.698448
 195 0.258421 11.413897 -0.205414 0.327851 -1.570663 -8.084973 48.685635 -29.622492
 196 -7.989907 5.556990 -0.354046 0.410413 -2.260434 -9.206732 48.719879 -29.832222
 197 -11.952730 0.712929 -0.177954 0.180663 -2.507156 -10.125453 49.068863 -31.391808
 198 -9.632598 5.157730 -0.288158 0.117292 -2.132698 -9.744079 49.087654 -31.399458
 199 -7.678197 5.741127 -0.517386 0.557633 -1.804940 -9.819361 48.942509 -31.370684
 200 -7.622729 6.822179 -0.467743 0.640416 -2.268888 -9.369277 48.678261 -31.279449
 201 -9.995158 2.674473 -0.162091 0.326839 -3.057967 -9.882229 47.911697 -31.553310
 202 -7.152574 2.054078 -0.209958 0.310706 -3.642996 -10.360856 47.630623 -32.096615
 203 -5.272473 4.345930 -0.478438 0.316000 -0.682095 -7.960111 47.128395 -33.357876
 204 -11.233953 2.600515 -0.493038 0.334507 -4.254962 -10.947550 47.112000 -33.449181
 205 -12.135916 -1.294100 -0.671556 0.459167 -4.326583 -11.027497 47.104004 -33.397469
 206 -6.143401 6.612108 -0.556950 0.673977 -0.862114 -7.685387 46.833584 -32.541973
 207 -8.575462 6.584764 -0.721662 0.630523 -0.721227 -6.807635 46.885719 -32.359978
 208 -13.597247 6.032873 -0.500908 0.358745 9.894025 -58.752235 47.558933 -31.441126
 209 -0.493769 12.421462 -0.621082 0.383509 -1.888969 -6.224201 45.620785 -31.844992
 210 -3.827973 9.721292 -0.225484 0.153731 -2.169405 -6.493410 44.938015 -31.455278
 211 -7.217289 8.256181 -0.319793 0.569859 -1.110295 -7.045872 44.797977 -31.578064
 212 -3.960084 9.033712 -0.200546 0.488314 -1.845961 -6.633476 44.737160 -31.512072
 213 -10.026670 5.585485 0.017079 0.602955 -4.475912 -7.544329 44.109974 -31.364130
 214 -6.999191 6.934726 -0.067755 0.426697 -4.308423 -7.343398 44.199368 -31.219242
 215 -5.513271 10.944774 0.198760 0.365490 -2.892401 -6.468795 44.676579 -31.054895
 216 1.321076 9.385105 0.242036 0.380171 -3.972049 -6.179990 44.901962 -30.219608
 217 -5.713062 9.100368 -0.057849 0.679900 -4.205106 -5.733920 44.916267 -29.982584
 218 -4.828628 7.594510 -0.060729 0.587945 -4.251277 -5.708147 44.868114 -29.993799
 219 -9.059282 5.860792 -0.131145 0.524300 -4.567696 -5.504667 44.696030 -30.078207
 220 -5.080143 8.094502 -0.297982 0.536381 -4.161282 -7.186538 44.601376 -30.337660
 221 -16.613508 4.457074 -0.095936 0.568819 9.899150 -58.755032 43.113716 -29.785366
 222 -11.202645 -5.846832 0.213144 0.647972 -53.168156 -15.841687 33.260582 -25.013470
 223 -11.577149 -0.302968 0.254953 0.408201 -53.222908 -15.959533 33.270691 -25.039001
 224 -7.113649 -4.757132 0.182519 0.753678 -52.894726 -15.564735 33.200573 -24.938574
 225 -7.325140 -4.439112 0.137954 0.804918 -52.837814 -15.486060 32.893848 -24.413332
 226 -4.540798 -7.668436 0.147491 0.697722 -52.690678 -15.255811 32.476460 -23.647909
 227 -2.982777 -5.936561 0.042299 0.446417 -52.060085 -14.250046 32.410553 -23.471420
 228 -2.439022 -6.288526 -0.181211 0.588918 -52.014591 -14.175797 32.361839 -23.314884
